,0
MEASURE_ET_lkg_50_at20V,0.365868628424541
MEASURE_ET_DC_Stress_Id_stress_before,0.16123133789463356
TOPSIN_ET_C100Cap1pf,0.113081808465304
MEASURE_ET_ABVIETCH,0.08539493662275113
TOPSIN_ET_DC_PIV_Drain_Lag_0,0.08370653394214436
THIN_ET_lkg_10,0.07814780911321552
MEASURE_ET_DC_Big_S12dB_10GHz,0.0751662576666489
TOPSIN_ET_lkg_5,0.06313950184541788
OHMIC_ET_Rsh_an_ct2,0.0565101358957632
TOPSIN_ET_Rc_f_tn_23,0.053384575310402596
MEASURE_ET_DC_SMALL_Ids_m0p2,0.05032407062828444
CATHODE_ET_Rcat_cn_2,0.04210780302966617
MEASURE_ET_DC_RF2_MAG_26GHz,0.03699429444482002
MEASURE_ET_DC_RF2_S22dB_26GHz,0.034892039383529236
THIN_ET_lkg_100_at20V,0.03396168626807436
SIN_GATE_ET_lkg_SY8_80,0.033575489833322876
SIN_ET_DC_RF_Vbin_gs,0.031663568105232326
STAGE_RANGE_sh_GA142,0.030627795518790385
MEASURE_ET_Rc_an_ct2_OW_CR,0.030625295500208337
FIC_ET_DC_RF_Vbgs_0p01,0.030561540755127414
ANODE_ET_Rc_an_ct2_OW_CR,0.03051859583831042
TOPSIN_ET_Cap3pf_0,0.029669310210808302
MEASURE_ET_DC_Big_Vg_optt2,0.029474856745563244
MEASURE_ET_RF_Modeling_S21_25G_Before,0.029034062388534697
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.029029831599831253
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.028492395660739987
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,0.026519538393501806
MEASURE_ET_C200_0,0.024524789639028682
TOPSIN_ET_lkg_C450pf,0.023050020438324433
MEASURE_ET_VIA_KLV,0.02209823648102405
MEASURE_ET_DC_RF_K_W,0.02128468353960002
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.01996348539342937
TOPSIN_ET_CapUSV_0,0.019837589877362647
TOPSIN_ET_Cap3pf,0.01983693708921916
MEASURE_ET_CapPARCAP_0,0.019436975146372343
THIN_ET_TF_AB_1,0.019040049904549015
TOPSIN_ET_C100Cap2pf,0.01787890353141685
MaskSetSupplyChipsCount,0.017511793969379335
MEASURE_ET_DC_RF2_S21ang_26GHz,0.017169944489140575
STAGE_STD_R_f_tn_1,0.016984622484406367
TOPSIN_ET_R_f_hr_3,0.016205489418448328
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,0.015547166899504906
MEASURE_ET_DC_RD_K,0.014931873405542912
MEASURE_ET_Rc_cat_ct2_OW_ST,0.014725316865531815
MEASURE_ET_USV_Cappf,0.014715968955979606
MEASURE_ET_R414,0.014568903096787277
ANODE_ET_Ran_con_1,0.01396868755108226
MEASURE_ET_DC_RF_Min_S21_Freq_L1002,0.013621848991450202
THIN_ET_Rcat_cn_3_OW_ST,0.013230024885620187
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,0.012799187178221252
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,0.01239241171614405
FIC_ET_DC_RF_Vbgs_0p1,0.012323136475834568
MEASURE_ET_DC_SEC_Ids_min_ON,0.012147504393413716
THIN_ET_DC_RF_Vg_optt3,0.011434670535904131
MEASURE_ET_RGAN1,0.011327569867817164
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,0.011229516308375825
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,0.010930114385281414
TOPSIN_ET_DC_SMALL_Vbin_gd,0.01086842168191345
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,0.010788477532869432
STAGE_RANGE_DC_PIV_Drain_Lag_0,0.009909128616762231
OHMIC_ET_Rc_an_ct2,0.009846325980002535
MEASURE_ET_RF_Modeling_Mag_i,0.009731302531716592
FIC_ET_Probe_Number,0.009081296262534387
FIC_ET_G_per_25,0.009012691288007
THIN_ET_Rc_OG142,0.008842952544521934
MEASURE_ET_C100CapPARCAP,0.008772713125370582
TOPSIN_ET_R414,0.008688879362346918
MEASURE_ET_RF_Modeling_S21_19G_After,0.008661696865354777
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_neg,0.008469340850318061
MEASURE_ET_DC_RF_Vg_max_Vd,0.00843403004752619
TOPSIN_ET_DC_SMALL_Vbgd_0p1,0.008356674095502569
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.008290490891916516
MEASURE_ET_RF_Modeling_Mag_m,0.007931720965734891
TOPSIN_ET_Load_Pull_P.A.E_Last,0.007708896505794978
MEASURE_ET_Rc_cat_ct2,0.007530664071982178
